bit16,bit24,bit16_hex,bit24_hex
0011110001011100,100000000000001010010011,3C5C,800293
0011110001011100,100000000000001010010110,3C5C,800296
0011110001011100,100000000000001010011000,3C5C,800298
0011110001011100,100000000000001010011011,3C5C,80029B
0011110001011100,100000000000001010011101,3C5C,80029D
0011110001011100,100000000000001010100000,3C5C,8002A0
0011110001011100,100000000000001010100010,3C5C,8002A2
0011110001011100,100000000000001010100101,3C5C,8002A5
0011110001011100,100000000000001010100111,3C5C,8002A7
0011110001011100,100000000000001010101010,3C5C,8002AA
0011110001011100,100000000000001010101100,3C5C,8002AC
0011110001011100,100000000000001010101111,3C5C,8002AF
0011110001011100,100000000000001010110001,3C5C,8002B1
0011110001011100,100000000000001010110100,3C5C,8002B4
0011110001011100,100000000000001010110110,3C5C,8002B6
0011110001011100,100000000000001010111001,3C5C,8002B9
0011110001011100,100000000000001010111011,3C5C,8002BB
0011110001011100,100000000000001010111110,3C5C,8002BE
0011110001011100,100000000000001011000000,3C5C,8002C0
0011110001011100,100000000000001011000011,3C5C,8002C3
0011110001011100,100000000000001011000101,3C5C,8002C5
0011110001011100,100000000000001011001000,3C5C,8002C8
0011110001011100,100000000000001011001010,3C5C,8002CA
0011110001011100,100000000000001011001101,3C5C,8002CD
0011110001011100,100000000000001011001111,3C5C,8002CF
0011110001011100,100000000000001011010010,3C5C,8002D2
0011110001011100,100000000000001011010100,3C5C,8002D4
0011110001011100,100000000000001011010111,3C5C,8002D7
0011110001011100,100000000000001011011001,3C5C,8002D9
0011110001011100,100000000000001011011100,3C5C,8002DC
0011110001011100,100000000000001011011110,3C5C,8002DE
0011110001011100,100000000000001011100001,3C5C,8002E1
0011110001011100,100000000000001011100011,3C5C,8002E3
0011110001011100,100000000000001011100110,3C5C,8002E6
0011110001011100,100000000000001011101000,3C5C,8002E8
0011110001011100,100000000000001011101011,3C5C,8002EB
0011110001011100,100000000000001011101101,3C5C,8002ED
0011110001011100,100000000000001011110000,3C5C,8002F0
0011110001011100,100000000000001011110010,3C5C,8002F2
0011110001011100,100000000000001011110101,3C5C,8002F5
0011110001011100,100000000000001011110111,3C5C,8002F7
0011110001011100,100000000000001011111010,3C5C,8002FA
0011110001011100,100000000000001011111100,3C5C,8002FC
0011110001011100,100000000000001011111111,3C5C,8002FF
0011110001011100,100000000000001100000001,3C5C,800301
0011110001011100,100000000000001100000100,3C5C,800304
0011110001011100,100000000000001100000110,3C5C,800306
0011110001011100,100000000000001100001001,3C5C,800309
